File Name,MFCC_0,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12
264s20,-538.9301,199.90292,0.11761735,31.699871,-30.402296,15.219519,-11.968998,2.370844,-12.953182,3.504908,-12.8051815,-6.951059,-8.136059
164s11,-403.4855,147.27065,-4.784581,50.80322,-0.8797576,-0.85865647,-15.616525,-5.8025274,-8.4515295,-6.9974866,-9.416698,-5.528658,-4.298658
213s12,-522.52405,179.76736,22.891151,8.414416,-20.539,1.6505529,-10.210383,-15.060914,-5.4991093,-5.2956123,-6.7522388,-6.5560255,-7.499683
261s33,-419.74054,152.99657,16.32674,23.347006,-13.676178,19.976395,-20.769375,-22.489777,-1.1559052,-6.7495885,-14.219004,-2.0643291,-4.2167225
166s3,-509.37253,203.80753,3.5234764,25.016525,-35.739285,22.406643,-8.456146,-12.064518,-6.2445235,-6.084671,-1.0394254,-10.784098,-6.125157
244s12,-398.45657,156.3022,24.177673,12.849598,-3.000469,10.854279,-16.021162,-15.494351,-7.6969404,-8.398035,-10.063761,-4.2929955,-7.056459
234s23,-427.12952,171.93974,34.899246,7.0044546,-1.2384503,13.757837,-25.23218,-15.485922,-6.657504,-12.786443,-10.928278,-6.6240573,-8.509911
169s1,-405.19604,148.65866,-18.35524,46.897976,-23.206488,27.094881,-25.326557,4.3797655,-12.435166,5.5871477,-10.677836,-1.5960373,-6.824444
217s11,-380.03192,154.07393,3.9738264,13.316783,-7.463794,1.7522298,-18.209532,-16.919456,-3.6203203,-11.416044,-9.067251,-2.1257877,-7.217207
202s7,-386.528,140.47388,25.124063,8.086614,-7.572295,0.2518386,-24.072039,-12.121589,-6.4827576,-4.812211,-9.583854,-6.4090347,-6.921476
147s5,-341.8946,143.96527,4.763006,30.374487,-6.4630036,5.6173954,-8.148581,-38.462887,-3.1500673,4.145643,-24.616798,0.6075722,-0.43055114
123s3,-452.41785,158.12862,37.29989,11.703448,-14.267444,6.8488555,-3.2386193,-8.194565,-6.0124154,-1.7044197,-5.9014754,-5.5656652,-0.70638216
222s1,-429.7042,169.07538,7.9983835,29.66912,1.4147966,13.998195,-26.635431,-11.416884,5.1414,-10.249532,-10.937426,-1.4601611,-11.619822
243s4,-378.4838,155.17325,13.996712,20.288204,-18.681948,8.422128,-13.305708,-15.906783,-9.604525,-2.303592,-5.333687,-0.1917356,-12.620318
278s17,-512.9074,168.57123,46.439068,3.5765305,-10.648814,3.4740832,-4.475523,-8.528795,-7.667324,-3.0510879,-5.7028365,-7.5990386,-7.2766805
137s34,-1131.3708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213s1,-489.94308,193.23187,7.4243226,18.153944,-26.785797,14.039365,-15.650085,-21.751553,-6.433428,-7.0011353,-5.2499056,-4.6535287,-5.986929
142s8,-395.0119,169.48907,28.243746,9.997899,-10.1159725,4.0350137,-6.351551,-14.631797,-11.803133,-6.0239344,-6.6455164,-4.3703437,-4.391883
287s25,-356.10114,132.90642,12.287521,28.432903,-5.8747516,-11.881543,-15.928396,-12.2942,-13.098173,-4.1813927,-13.081246,-7.389504,-9.181577
120s1,-462.14087,165.65489,4.2437944,18.709948,-12.85472,9.558149,-12.5495205,-9.364798,-15.218217,-0.81645006,-13.515822,-6.5195374,-8.678998
220s2,-378.2269,165.66574,-4.4553385,17.277624,3.5774384,0.16640615,-19.197514,-10.602539,-16.605658,-0.38266507,-15.228941,-5.5933576,-7.0535865
157s32,-375.06848,143.85942,9.859917,57.01818,-13.442509,12.017594,-26.860615,-7.1747956,-14.7276,-5.3591065,-19.668013,0.2763405,-11.669631
217s17,-488.4074,163.66888,39.937504,6.5318055,-6.133553,8.93646,-14.22066,-11.425287,-6.442201,-9.943991,-9.465718,-3.3759682,-5.2247753
143s24,-463.26523,182.74512,21.907001,13.672262,-8.106295,3.4586272,-11.171584,-15.240249,-2.028245,-5.810403,-12.254484,2.0903888,-9.484804
